Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-03-28 22:22 (EST),On Demand,Rebecca Kennedy,10,Strength,Core,10 min Core Strength,2020-03-11 20:18 (EST),,,,,,,53,,,
2020-03-30 12:45 (EST),On Demand,Hannah Frankson,45,Cycling,Music,45 min Hip Hop Ride,2020-03-30 04:00 (EST),353,131,46%,73,17.86,13.39,500,,,
2020-03-30 13:35 (EST),On Demand,Emma Lovewell,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-08-19 11:05 (EST),,,,,,,53,,,
2020-03-30 19:22 (EST),On Demand,Hannah & Leanne ,30,Cycling,Theme,30 min Two for One: WHM Celebration Ride,2020-03-17 06:50 (EST),233,129,47%,71,17.87,8.93,329,,,
2020-03-31 15:33 (EST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2020-03-03 01:30 (EST),157,131,46%,73,17.67,5.88,222,,,
2020-03-31 15:57 (EST),On Demand,Leanne Hainsby,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-03-10 05:55 (EST),,,,,,,53,,,
2020-03-31 19:17 (EST),On Demand,Multiple Instructors,20,Cardio,Dance Cardio,20 min Dance Cardio,2020-03-05 10:00 (EST),,,,,,,127,,,
2020-04-06 09:06 (EST),On Demand,Jess King,20,Cycling,Intervals,20 min HIIT Ride,2020-03-30 10:32 (EST),155,130,46%,71,17.30,5.73,220,,,
2020-04-07 09:05 (EST),On Demand,Jess King,20,Cycling,Climb,20 min Climb Ride,2020-03-20 11:02 (EST),159,132,49%,68,17.86,5.95,225,,,
2020-04-09 19:02 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min HIIT & Hills Ride,2020-04-01 09:49 (EST),378,140,50%,69,18.32,13.74,535,,,
2020-04-09 19:55 (EST),On Demand,Cody Rigsby,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-04-01 13:57 (EST),,,,,,,53,,,
2020-04-10 19:02 (EST),On Demand,Hannah Frankson,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-04-01 08:19 (EST),354,131,49%,67,17.72,13.30,501,,,
2020-04-12 20:02 (EST),On Demand,Emma Lovewell,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-04-03 11:45 (EST),339,125,48%,68,17.55,13.16,479,,,
2020-04-13 14:01 (EST),On Demand,Emma Lovewell,30,Cycling,Climb,30 min Climb Ride,2020-02-27 09:17 (EST),256,142,50%,69,18.53,9.26,362,,,
2020-04-14 21:49 (EST),On Demand,Leanne Hainsby,45,Cycling,Music,45 min 70s Ride,2020-04-04 05:20 (EST),373,138,49%,70,18.29,13.72,528,,,
2020-04-14 22:48 (EST),On Demand,Sam Yo,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-04-05 08:52 (EST),,,,,,,53,,,
2020-04-15 14:30 (EST),On Demand,,10,Cycling,Scenic Ride,10 min Reims Scenic Ride,,21,34,24%,78,9.96,1.66,29,,,
2020-04-20 13:51 (EST),On Demand,Hannah Frankson,30,Cycling,Music,30 min EDM Ride,2020-04-04 04:00 (EST),239,133,48%,67,17.69,8.84,339,,,
2020-04-21 13:19 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min HIIT & Hills Ride,2020-04-01 09:49 (EST),384,142,52%,64,18.55,13.90,544,,,
2020-04-21 14:14 (EST),On Demand,Jess King,20,Cycling,Intervals,20 min HIIT Ride,2020-03-30 10:32 (EST),145,121,49%,64,17.26,5.75,205,,,
2020-04-21 14:36 (EST),On Demand,Jess King,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-12-11 15:09 (EST),,,,,,,53,,,
2020-04-22 18:14 (EST),On Demand,Robin Arzon,30,Cycling,Music,30 min Pop Ride: Live from Home,2020-04-22 09:53 (EST),262,146,51%,67,18.66,9.32,371,,,
2020-04-23 20:10 (EST),On Demand,Hannah Frankson,30,Cycling,Intervals,30 min HIIT & Hills Ride,2020-04-22 03:30 (EST),252,140,51%,66,18.43,9.22,357,,,
2020-04-26 19:33 (EST),On Demand,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2019-05-07 17:18 (EST),395,146,55%,62,18.61,13.96,559,,,
2020-04-29 19:24 (EST),On Demand,Aditi Shah,30,Yoga,Flow,30 min Yoga Flow,2020-02-24 07:47 (EST),,,,,,,111,,,
2020-04-30 18:29 (EST),On Demand,Hannah Frankson,45,Cycling,Music,45 min Hip Hop Ride,2020-03-17 14:49 (EST),377,140,50%,68,18.36,13.77,533,,,
2020-05-12 08:13 (EST),On Demand,Hannah Frankson,20,Cycling,Low Impact,20 min Low Impact Ride,2020-05-05 10:00 (EST),130,108,42%,74,16.59,5.53,184,,,
2020-05-15 06:08 (EST),On Demand,Leanne Hainsby,20,Cycling,Music,20 min Disco Ride,2020-03-27 04:00 (EST),147,122,47%,68,17.35,5.78,208,,,
2020-05-15 06:31 (EST),On Demand,Leanne Hainsby,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-04-14 04:30 (EST),,,,,,,53,,,
2020-05-15 06:49 (EST),On Demand,Selena Samuela,10,Strength,Core,10 min Core Strength,2020-05-06 16:25 (EST),,,,,,,67,126.86,,
2020-05-16 06:49 (EST),On Demand,Robin Arzon,15,Strength,Core,15 min Core Strength: Live from Home,2020-04-28 11:55 (EST),,,,,,,,,,
2020-05-16 06:50 (EST),On Demand,Selena Samuela,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2020-03-26 09:30 (EST),,,,,,,26,80.38,,
2020-05-16 07:02 (EST),On Demand,Robin Arzon,15,Strength,Core,15 min Core Strength: Live from Home,2020-04-28 11:55 (EST),,,,,,,69,102.11,,
2020-05-19 07:23 (EST),On Demand,Olivia Amato,20,Cycling,Music,20 min New Tracks Ride,2020-04-30 17:00 (EST),147,123,45%,74,17.39,5.79,209,,,
2020-05-19 07:46 (EST),On Demand,Olivia Amato,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-12-28 10:00 (EST),,,,,,,53,,,
2020-05-26 13:29 (EST),On Demand,Irene Scholz,45,Cycling,Music,45 min EDM Ride: Live from Home,2020-05-01 07:55 (EST),355,131,49%,68,17.86,13.38,502,,,
2020-05-26 14:18 (EST),On Demand,Ben Alldis,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-05-26 10:30 (EST),,,,,,,53,,,
2020-05-26 14:35 (EST),On Demand,Robin Arzon,15,Strength,Core,15 min Core Strength: Live from Home,2020-05-25 10:54 (EST),,,,,,,79,,,
2020-05-27 12:22 (EST),On Demand,Emma Lovewell,45,Cycling,Music,45 min 90s Rock Ride,2020-05-26 17:49 (EST),342,127,50%,65,17.66,13.24,484,,,
2020-05-27 13:11 (EST),On Demand,Ben Alldis,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-04-30 06:30 (EST),,,,,,,53,,,
2020-05-30 10:04 (EST),On Demand,Anna Greenberg,30,Yoga,Music,30 min Jhene Aiko Yoga Flow,2020-05-27 17:18 (EST),,,,,,,107,94.28,,
2020-06-03 18:00 (EST),Live,Tunde Oyeneyin,30,Cycling,Theme,30 min Speak Up Ride,2020-06-03 17:54 (EST),248,138,50%,69,18.33,9.16,352,,,
2020-06-03 18:40 (EST),Live,Chelsea Jackson Roberts,10,Meditation,Mindfulness,"10 min Breathe In, Speak Up Meditation",2020-06-03 18:29 (EST),,,,,,,,,,
2020-06-05 12:30 (EST),Live,Alex Toussaint,30,Cycling,Music,30 min 2000s Hip Hop: Live From Home,2020-06-05 12:25 (EST),238,133,48%,69,17.79,8.89,338,,,
2020-06-12 08:10 (EST),On Demand,Ally Love,30,Cycling,Theme,30 min Feel Good Ride: Live from Home,2020-06-07 12:55 (EST),237,132,49%,68,17.88,8.94,335,,,
2020-06-12 08:44 (EST),On Demand,Ally Love,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-12-23 10:02 (EST),,,,,,,53,,,
2020-06-14 07:31 (EST),On Demand,Ally Love,30,Cycling,Intervals,30 min Tabata Ride: Live from Home,2020-06-09 12:24 (EST),243,135,45%,75,18.02,9.01,345,,,
2020-06-14 08:04 (EST),On Demand,Emma Lovewell,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-06-11 18:38 (EST),,,,,,,53,,,
2020-06-24 17:44 (EST),On Demand,Hannah Frankson,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-06-12 07:51 (EST),321,119,48%,65,17.10,12.82,455,,,
2020-06-24 18:34 (EST),On Demand,Hannah Frankson,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-06-01 04:25 (EST),,,,,,,53,,,
2020-06-26 17:44 (EST),On Demand,Hannah Frankson,30,Cycling,Intervals,30 min HIIT Ride,2020-06-19 07:50 (EST),259,144,48%,73,18.57,9.28,367,,,
2020-06-26 18:18 (EST),On Demand,Hannah Frankson,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-02-27 02:32 (EST),,,,,,,53,,,
2020-07-01 07:19 (EST),On Demand,Emma Lovewell,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-06-21 17:50 (EST),287,106,45%,65,16.07,12.05,407,,,
2020-07-02 07:28 (EST),On Demand,Hannah Frankson,30,Cycling,Intervals,30 min Intervals & Arms Ride,2020-06-27 11:00 (EST),212,118,44%,72,16.86,8.43,300,,,
2020-07-03 07:52 (EST),On Demand,Robin Arzon,30,Cycling,Theme,30 min Together We Ride: Live From Home,2020-06-27 10:00 (EST),217,120,43%,76,17.06,8.56,307,,,
2020-07-03 08:26 (EST),On Demand,Jess King,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-05-31 10:00 (EST),,,,,,,53,,,
2020-07-16 21:37 (EST),On Demand,Leanne Hainsby,45,Cycling,Music,45 min Disco Ride,2020-07-16 09:00 (EST),334,124,46%,71,17.36,13.02,473,,,
2020-07-16 22:26 (EST),On Demand,Emma Lovewell,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-07-10 20:04 (EST),,,,,,,53,,,
2020-07-17 19:37 (EST),On Demand,Chelsea Jackson Roberts,45,Yoga,Flow,45 min Yoga Flow,2020-07-13 17:45 (EST),,,,,,,171,,,
2020-07-18 20:41 (EST),On Demand,Jess King,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-07-14 19:20 (EST),313,116,45%,70,16.95,12.71,444,,,
2020-07-22 11:13 (EST),On Demand,Hannah Frankson,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-07-14 06:50 (EST),319,118,46%,68,16.95,12.71,452,,,
2020-07-22 12:01 (EST),On Demand,Hannah Frankson,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-07-09 04:25 (EST),,,,,,,53,,,
2020-07-23 13:19 (EST),On Demand,Hannah Frankson,45,Cycling,Intervals,45 min HIIT & Hills Ride,2020-07-07 07:00 (EST),366,136,48%,71,18.13,13.59,519,,,
2020-07-23 14:06 (EST),On Demand,Hannah Corbin,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-07-20 09:40 (EST),,,,,,,53,,,
2020-08-03 18:32 (EST),On Demand,Anna Greenberg,30,Yoga,Flow,30 min Yoga Flow,2020-08-03 09:51 (EST),,,,,,,100,,,
2020-08-05 10:22 (EST),On Demand,Kristin McGee,45,Yoga,Flow,45 min Yoga Flow,2020-07-29 09:50 (EST),,,,,,,166,,,
2020-08-05 11:16 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-26 15:19 (EST),,,,,,,53,,,
2020-08-06 19:39 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EST),,,,,,,53,,,
2020-08-06 19:52 (EST),On Demand,Chelsea Jackson Roberts,45,Yoga,Theme,45 min Evening Yoga Flow,2020-08-03 17:49 (EST),,,,,,,98,,,
2020-08-08 16:32 (EST),On Demand,Chelsea Jackson Roberts,45,Yoga,Flow,45 min Yoga Flow,2020-08-01 08:49 (EST),,,,,,,167,,,
2020-08-08 17:36 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-26 15:19 (EST),,,,,,,53,,,
2020-08-09 11:31 (EST),On Demand,Chelsea Jackson Roberts,45,Yoga,Flow,45 min Yoga Flow,2020-07-17 10:00 (EST),,,,,,,67,,,
2020-08-09 12:11 (EST),On Demand,Chelsea Jackson Roberts,45,Yoga,Flow,45 min Yoga Flow,2020-07-17 10:00 (EST),,,,,,,103,,,
2020-08-10 18:05 (EST),On Demand,Hannah Frankson,20,Cycling,Intervals,20 min HIIT Ride,2020-08-06 02:30 (EST),158,132,45%,75,17.77,5.92,224,,,
2020-08-10 18:30 (EST),On Demand,Kendall Toole,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-08-09 08:34 (EST),,,,,,,53,,,
2020-08-11 11:40 (EST),On Demand,Denis Morton,10,Yoga,Flow,10 min Yoga Flow,2020-08-02 11:35 (EST),,,,,,,37,,,
2020-08-11 17:17 (EST),On Demand,Chelsea Jackson Roberts,45,Yoga,Power,45 min Power Yoga,2020-07-11 10:49 (EST),,,,,,,171,,,
2020-08-12 10:58 (EST),On Demand,Chelsea Jackson Roberts,10,Yoga,Focus Flow,10 min Sun Salutations,2020-07-29 15:51 (EST),,,,,,,40,,,
2020-08-12 13:11 (EST),On Demand,Hannah Frankson,20,Cycling,Intervals,20 min Tabata Ride,2020-07-16 04:00 (EST),157,131,44%,77,17.78,5.92,222,,,
2020-08-12 13:33 (EST),On Demand,Tunde Oyeneyin,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-08-12 09:00 (EST),,,,,,,53,,,
2020-08-13 11:37 (EST),On Demand,Aditi Shah,10,Yoga,Focus Flow,10 min Yoga Flow: Hamstrings,2020-08-12 18:32 (EST),,,,,,,40,,,
2020-08-14 10:58 (EST),On Demand,Chelsea Jackson Roberts,10,Yoga,Focus Flow,10 min Sun Salutations,2020-07-29 15:51 (EST),,,,,,,20,,,
2020-08-18 08:26 (EST),On Demand,Kristin McGee,30,Yoga,Flow,30 min Yoga Flow,2020-08-14 08:50 (EST),,,,,,,120,,,
2020-08-19 13:17 (EST),On Demand,Denis Morton,30,Yoga,Flow,30 min Yoga Flow,2020-08-19 09:49 (EST),,,,,,,108,,,
2020-08-19 18:58 (EST),On Demand,Chelsea Jackson Roberts,30,Yoga,Flow,30 min Yoga Flow,2020-08-10 10:00 (EST),,,,,,,111,,,
2020-08-19 19:36 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-26 15:19 (EST),,,,,,,53,,,
2020-08-22 11:40 (EST),On Demand,Denis Morton,10,Yoga,Flow,10 min Yoga Flow,2020-08-19 10:35 (EST),,,,,,,38,,,
2020-08-23 11:06 (EST),On Demand,Kristin McGee,10,Yoga,Focus Flow,10 min Yoga Flow: Hips,2020-08-14 09:35 (EST),,,,,,,42,,,
2020-08-23 13:00 (EST),Live,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Endurance Ride,2020-08-23 12:48 (EST),224,124,41%,83,17.55,8.77,317,,,
2020-08-23 13:33 (EST),On Demand,Christine D'Ercole,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-06-17 18:35 (EST),,,,,,,53,,,
2020-08-24 13:09 (EST),On Demand,Hannah Frankson,20,Cycling,Intervals,20 min Tabata Ride,2020-08-13 02:21 (EST),156,130,45%,75,17.74,5.91,221,,,
2020-08-24 13:31 (EST),On Demand,Hannah Frankson,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-08-12 13:02 (EST),,,,,,,53,,,
2020-08-24 18:42 (EST),On Demand,Chelsea Jackson Roberts,45,Yoga,Power,45 min Power Yoga,2020-08-23 08:49 (EST),,,,,,,172,,,
2020-08-29 08:40 (EST),On Demand,Emma Lovewell,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-08-17 11:23 (EST),291,108,46%,63,16.02,12.02,415,,,
2020-08-30 07:53 (EST),On Demand,Kendall Toole,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-08-23 07:50 (EST),288,107,45%,67,16.24,12.18,411,,,
2020-08-31 18:10 (EST),On Demand,Ally Love,45,Cycling,Intervals,45 min Tabata Ride,2020-08-31 17:00 (EST),348,129,46%,72,17.65,13.24,497,,,
2020-08-31 18:58 (EST),On Demand,Ally Love,10,Strength,Arms & Light Weights,10 min Prince Arms Toning,2020-08-12 17:15 (EST),,,,,,,53,,,
2020-09-02 13:05 (EST),On Demand,Hannah Frankson,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-09-01 12:20 (EST),327,121,46%,69,17.12,12.84,467,,,
2020-09-04 13:04 (EST),On Demand,Emma Lovewell,30,Cycling,Theme,30 min Listening Party,2020-09-03 17:18 (EST),238,132,46%,74,17.93,8.97,340,,,
2020-09-09 13:14 (EST),On Demand,Emma Lovewell,45,Cycling,Music,45 min 90s Ride,2020-09-07 07:50 (EST),346,128,46%,72,17.53,13.14,494,,,
2020-09-10 13:20 (EST),On Demand,Kendall Toole,45,Cycling,Intervals,45 min Intervals & Arms Ride: Dancehall,2020-09-07 11:22 (EST),317,118,48%,66,16.95,12.70,453,,,
2020-09-17 14:08 (EST),On Demand,Robin Arzon,30,Cycling,Intervals,30 min Intervals & Arms Ride,2020-09-16 11:18 (EST),240,134,49%,68,17.83,8.92,343,,,
2020-09-18 13:37 (EST),On Demand,Hannah Frankson,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-08-04 12:19 (EST),330,122,46%,69,17.26,12.94,471,,,
2020-09-24 14:14 (EST),On Demand,Robin Arzon,30,Cycling,Music,30 min 90s Hip Hop Ride,2020-09-23 11:18 (EST),234,130,42%,82,17.81,8.90,334,,,
2020-09-25 15:25 (EST),On Demand,Emma Lovewell,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-09-21 07:18 (EST),323,120,45%,70,17.05,12.79,461,,,
2020-09-26 07:58 (EST),On Demand,Kendall Toole,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-06-25 17:50 (EST),316,117,45%,70,16.84,12.62,451,,,
2020-09-29 13:23 (EST),On Demand,Kendall Toole,45,Cycling,Intervals,45 min HIIT & Hills Ride,2020-09-21 11:18 (EST),363,134,47%,72,17.81,13.36,518,,,
2020-09-30 07:29 (EST),On Demand,Leanne Hainsby,45,Cycling,Intervals,45 min HIIT & Hills Ride,2020-09-25 09:20 (EST),350,130,48%,70,17.66,13.24,499,,,
2020-10-01 13:11 (EST),On Demand,Kendall Toole,30,Cycling,Intervals,30 min Intervals & Arms Ride,2020-09-28 11:21 (EST),231,128,47%,70,17.53,8.76,330,,,
2020-10-05 14:15 (EST),On Demand,Leanne Hainsby,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-09-30 13:30 (EST),355,132,48%,68,17.66,13.24,507,,,
2020-10-22 09:49 (EST),On Demand,Chelsea Jackson Roberts,30,Yoga,Music,30 min Soul Yoga Flow,2020-10-21 19:20 (EST),,,,,,,113,,,
2020-10-22 13:49 (EST),On Demand,Alex Toussaint,20,Cycling,Music,20 min 90s Hip Hop Ride,2020-10-21 17:00 (EST),146,121,42%,79,17.00,5.66,207,,,
2020-10-23 17:51 (EST),On Demand,Ally Love,15,Cycling,Theme,15 min Boss Ride,2020-10-22 06:36 (EST),110,123,44%,74,17.07,4.27,157,,,
2020-10-25 14:10 (EST),On Demand,Hannah Frankson,30,Cycling,Intervals,30 min Intervals Ride,2020-10-20 12:20 (EST),241,134,45%,75,17.99,8.99,344,,,
2020-10-27 14:03 (EST),On Demand,Kendall Toole,30,Cycling,Intervals,30 min Intervals & Arms Ride,2020-10-08 07:25 (EST),213,119,46%,68,17.04,8.52,304,,,
2020-10-30 18:13 (EST),On Demand,Jess King,30,Cycling,Theme,30 min The Jess King Experience,2020-10-29 19:53 (EST),232,129,44%,77,17.73,8.85,330,,,
2020-10-30 18:46 (EST),On Demand,Jess King,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-09-16 09:00 (EST),,,,,,,53,,,
2020-10-31 18:40 (EST),On Demand,Jess King,30,Cycling,Theme,30 min Halloween Ride,2020-10-31 11:53 (EST),235,130,43%,80,17.84,8.92,334,,,
2020-10-31 19:16 (EST),On Demand,Olivia Amato,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-10-19 06:39 (EST),,,,,,,53,,,
2020-11-05 18:26 (EST),On Demand,Hannah Frankson,45,Cycling,Music,45 min 2010s Ride,2020-10-31 07:20 (EST),308,114,43%,73,16.77,12.58,439,,,
2020-11-05 19:14 (EST),On Demand,Sam Yo,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-11-05 13:02 (EST),,,,,,,53,,,
2020-11-06 07:32 (EST),On Demand,Jess King,30,Cycling,Theme,30 min The Jess King Experience,2020-11-05 19:49 (EST),218,121,43%,77,17.30,8.65,310,,,
2020-11-06 11:11 (EST),On Demand,Jess Sims,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2020-10-14 10:00 (EST),,,,,,,27,,,
2020-11-07 17:56 (EST),On Demand,Chelsea Jackson Roberts,45,Yoga,Flow,45 min Yoga Flow,2020-11-04 07:51 (EST),,,,,,,171,,,
2020-11-08 08:00 (EST),Live,Alex Toussaint,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-11-07 13:22 (EST),320,119,45%,71,17.00,12.74,456,,,
2020-11-09 15:09 (EST),On Demand,Hannah Frankson,30,Cycling,Intervals,30 min Intervals Ride,2020-11-07 06:20 (EST),240,133,45%,75,17.94,8.97,341,,,
2020-11-09 15:41 (EST),On Demand,Hannah Frankson,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-10-19 03:00 (EST),,,,,,,53,,,
2020-11-10 18:23 (EST),On Demand,Olivia Amato,45,Cycling,Intervals,45 min HIIT & Hills Ride,2020-11-09 05:53 (EST),364,135,47%,73,18.01,13.50,518,,,
2020-11-10 19:11 (EST),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-10-25 14:00 (EST),,,,,,,13,,,
2020-11-11 11:12 (EST),On Demand,Ross Rayburn,10,Yoga,Focus Flow,10 min Yoga Flow: Floor Poses,2020-11-11 08:35 (EST),,,,,,,39,,,
2020-11-11 20:43 (EST),On Demand,Hannah Frankson,45,Cycling,Music,45 min 90s Ride,2020-11-08 11:00 (EST),346,128,45%,74,17.79,13.34,493,,,
2020-11-11 21:30 (EST),On Demand,Emma Lovewell,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-11-09 08:03 (EST),,,,,,,53,,,
2020-11-12 14:36 (EST),On Demand,Chelsea Jackson Roberts,45,Yoga,Focus Flow,45 min Yoga Flow: Forward Folds,2020-11-09 17:48 (EST),,,,,,,167,,,
2020-11-13 19:30 (EST),Live,Hannah Corbin,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-11-13 19:25 (EST),362,134,50%,66,17.91,13.44,515,,,
2020-11-15 07:57 (EST),On Demand,Alex & Tunde  ,30,Cycling,Music,30 min Beyonce Two for One Ride,2020-11-09 19:23 (EST),242,134,47%,73,18.05,9.02,344,,,
2020-11-15 08:30 (EST),On Demand,Ally Love,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-11-14 14:30 (EST),,,,,,,53,,,
2020-11-16 16:30 (EST),On Demand,Kendall Toole,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-10-19 11:24 (EST),338,125,48%,67,17.34,13.00,481,,,
2020-11-17 20:35 (EST),Live,Tunde Oyeneyin,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-11-17 16:54 (EST),305,113,45%,70,16.76,12.56,434,,,
2020-11-18 14:17 (EST),On Demand,Robin Arzon,20,Cycling,Intervals,20 min HIIT Ride,2020-11-11 11:21 (EST),170,142,51%,68,18.25,6.08,242,,,
2020-11-19 13:53 (EST),On Demand,Hannah Frankson,30,Cycling,Music,30 min Hip Hop Ride,2020-11-17 12:30 (EST),253,140,46%,77,18.41,9.20,360,,,
2020-11-19 14:56 (EST),On Demand,Jess Sims,45,Strength,Full Body,45 min Full Body Strength,2020-11-06 08:19 (EST),,,,,,,239,,,
2020-11-21 18:01 (EST),On Demand,Robin Arzon,45,Cycling,Music,45 min Hip Hop Ride,2020-11-20 16:53 (EST),351,130,44%,79,17.83,13.36,499,,,
2020-11-21 18:48 (EST),On Demand,Cody Rigsby,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-11-17 20:04 (EST),,,,,,,53,,,
2020-11-22 06:56 (EST),On Demand,Emma Lovewell,45,Cycling,Music,45 min 90s Ride,2020-10-05 07:18 (EST),350,130,46%,74,17.79,13.33,498,,,
2020-11-22 07:44 (EST),On Demand,Emma Lovewell,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-10-12 08:03 (EST),,,,,,,53,,,
2020-11-24 18:48 (EST),On Demand,Emma Lovewell,20,Cycling,Intervals,20 min HIIT Ride,2020-11-16 07:55 (EST),161,134,45%,77,17.93,5.98,230,,,
2020-11-24 20:20 (EST),On Demand,Jess Sims,30,Strength,Full Body,30 min Alicia Keys Full Body Strength,2020-10-07 10:00 (EST),,,,,,,159,,,
2020-11-24 20:54 (EST),On Demand,Adrian Williams,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2020-11-21 10:00 (EST),,,,,,,26,,,
2020-11-25 11:28 (EST),On Demand,Rebecca Kennedy,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2020-11-22 10:00 (EST),,,,,,,27,,,
2020-11-25 13:26 (EST),On Demand,Olivia Amato,45,Cycling,Intervals,45 min Tabata Ride,2020-11-23 05:53 (EST),377,140,46%,75,18.24,13.67,537,,,
2020-11-26 09:18 (EST),On Demand,Hannah Frankson,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-11-24 12:25 (EST),337,125,47%,69,17.45,13.08,480,,,
2020-11-29 08:15 (EST),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Turkey Burn Ride,2020-11-26 07:53 (EST),359,133,48%,71,17.89,13.41,512,,,
2020-11-29 09:03 (EST),On Demand,Alex Toussaint,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-11-16 20:04 (EST),,,,,,,53,,,
2020-11-30 13:35 (EST),On Demand,Kendall Toole,45,Cycling,Intervals,45 min HIIT & Hills Ride,2020-11-29 07:54 (EST),386,143,48%,72,18.44,13.82,549,,,
2020-12-01 17:00 (EST),Live,Tunde Oyeneyin,45,Cycling,Music,45 min Pop Ride,2020-12-01 16:52 (EST),343,127,45%,75,17.66,13.22,488,,,
2020-12-03 14:28 (EST),On Demand,Robin Arzon,30,Cycling,Intervals,30 min Intervals & Arms Ride,2020-12-02 11:22 (EST),239,133,46%,73,17.92,8.96,340,,,
2020-12-06 09:35 (EST),On Demand,Kendall Toole,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-03-13 06:49 (EST),323,120,46%,69,17.06,12.80,460,,,
2020-12-07 13:49 (EST),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2020-12-05 13:21 (EST),369,137,47%,74,18.14,13.60,525,,,
2020-12-09 12:20 (EST),On Demand,Alex Toussaint,30,Cycling,Music,30 min Hip Hop Ride,2020-12-07 19:21 (EST),251,140,46%,76,18.38,9.19,358,,,
2020-12-12 13:04 (EST),On Demand,Robin Arzon,45,Cycling,Live DJ,45 min Live DJ Ride,2020-12-11 18:52 (EST),338,133,44%,80,17.99,12.72,455,,,
2020-12-14 13:09 (EST),On Demand,Kendall Toole,45,Cycling,Intervals,45 min Intervals & Arms Ride,2020-12-13 07:55 (EST),345,128,47%,69,17.52,13.14,491,,,
