Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-11-11 20:30 (EST),Live,Denis Morton,45,Cycling,Music,45 min Pop Ride,2019-11-11 20:19 (EST),356,132,44%,77,17.87,13.39,505,,,
2019-11-11 22:31 (EST),On Demand,Chase Tucker,5,Stretching,Pre & Post-Run Stretch,5 min Post-Run Stretch,2019-11-05 16:36 (EST),,,,,,,13,,,
2019-11-12 15:31 (EST),On Demand,Rebecca Kennedy,10,Cardio,HIIT,10 min HIIT Cardio,2019-09-24 18:02 (EST),,,,,,,17,,,
2019-11-12 15:35 (EST),On Demand,Jess Sims,10,Cardio,HIIT,10 min HIIT Cardio,2019-09-19 07:32 (EST),,,,,,,63,,,
2019-11-13 21:07 (EST),On Demand,Becs Gentry,5,Stretching,Pre & Post-Run Stretch,5 min Pre-Run Warm Up,2019-10-28 15:23 (EST),,,,,,,13,,,
2019-11-13 21:12 (EST),On Demand,Christine D'Ercole,5,Stretching,Lower Body Stretch,5 min Glutes & Legs Stretch,2019-10-24 13:30 (EST),,,,,,,26,,,
2019-11-13 21:22 (EST),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-03-19 15:38 (EST),,,,,,,26,,,
2019-11-13 21:29 (EST),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-27 09:00 (EST),,,,,,,26,,,
2019-11-13 21:36 (EST),On Demand,Ally Love,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2019-11-04 09:28 (EST),,,,,,,13,,,
2019-11-18 16:12 (EST),On Demand,Selena Samuela,10,Stretching,Pre & Post-Run Stretch,10 min Pre-Run Warm Up,2019-11-06 13:57 (EST),,,,,,,52,,,
2019-11-20 17:25 (EST),On Demand,Olivia Amato,10,Stretching,Pre & Post-Run Stretch,10 min Pre-Run Warm Up,2019-10-17 15:54 (EST),,,,,,,26,,,
2019-11-20 17:46 (EST),On Demand,Robin Arzon,20,Running,Intervals,20 min Intervals Run,2018-06-20 09:00 (EST),,,,,,,185,,,
2019-11-20 18:08 (EST),On Demand,Selena Samuela,10,Stretching,Pre & Post-Run Stretch,10 min Post-Run Stretch,2019-11-06 14:58 (EST),,,,,,,26,,,
2019-11-20 18:25 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EST),,,,,,,53,,,
2019-11-21 21:00 (EST),Live,Jess King,30,Cycling,Theme,30 min The Jess King Experience,2019-11-21 20:49 (EST),284,158,47%,80,19.33,9.65,402,,,
2019-11-23 17:15 (EST),Live,Olivia Amato,30,Cycling,Low Impact,30 min Low Impact Ride,2019-11-23 17:04 (EST),231,128,42%,83,17.80,8.90,327,,,
2019-11-24 08:39 (EST),On Demand,Rebecca Kennedy,5,Stretching,Pre & Post-Run Stretch,5 min Pre-Run Warm Up,2019-11-18 15:20 (EST),,,,,,,13,,,
2019-11-24 09:01 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2018-10-05 12:56 (EST),,,,,,,53,,,
2019-11-24 09:15 (EST),On Demand,Emma Lovewell,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-10-11 08:00 (EST),,,,,,,53,,,
2019-11-27 18:21 (EST),On Demand,Rebecca Kennedy,5,Stretching,Pre & Post-Run Stretch,5 min Pre-Run Warm Up,2019-11-18 15:20 (EST),,,,,,,13,,,
2019-11-27 18:41 (EST),On Demand,Selena Samuela,10,Stretching,Pre & Post-Run Stretch,10 min Post-Run Stretch,2019-11-06 14:58 (EST),,,,,,,26,,,
2019-11-27 18:52 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 15:03 (EST),,,,,,,53,,,
2019-11-27 19:04 (EST),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-05-26 15:19 (EST),,,,,,,53,,,
2019-12-02 12:58 (EST),On Demand,Andy Speer,10,Stretching,Pre & Post-Run Stretch,10 min Pre-Run Warm Up,2019-09-20 08:48 (EST),,,,,,,26,,,
2019-12-02 13:26 (EST),On Demand,Emma Lovewell,10,Strength,Arms & Light Weights,10 min Arms Toning,2019-11-25 07:00 (EST),,,,,,,53,,,
2019-12-02 13:38 (EST),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-05-28 09:00 (EST),,,,,,,26,,,
2019-12-02 13:44 (EST),On Demand,Emma Lovewell,5,Stretching,Full Body Stretch,5 min Full Body Stretch,2019-05-28 09:00 (EST),,,,,,,13,,,
2019-12-02 13:54 (EST),On Demand,Aditi Shah,10,Meditation,Audio Only,10 min Gratitude Meditation,2019-11-28 06:00 (EST),,,,,,,,,,
2019-12-05 17:50 (EST),On Demand,Chase Tucker,5,Stretching,Pre & Post-Run Stretch,5 min Pre-Run Warm Up,2019-11-05 15:46 (EST),,,,,,,10,,,
